tmdbID,voteCount,selectID
163,6721,480
598,6708,481
587,6707,482
1824,6705,483
396535,6694,484
65,6692,485
8871,6688,486
363676,6686,487
295693,6682,488
150689,6679,489
83542,6657,490
20526,6648,491
376867,6641,492
8363,6620,493
384018,6618,494
49519,6607,495
96721,6598,496
158852,6591,497
195589,6569,498
8909,6562,499
324852,6560,500
328387,6555,501
949,6552,502
14574,6542,503
427641,6539,504
7191,6525,505
561,6521,506
9339,6518,507
773,6508,508
9693,6495,509
75780,6486,510
37735,6485,511
492188,6478,512
65754,6475,513
1734,6475,514
142,6426,515
109424,6424,516
296098,6421,517
18360,6414,518
310131,6398,519
1487,6392,520
98566,6391,521
10527,6371,522
49444,6365,523
11321,6362,524
76757,6353,525
13448,6351,526
4247,6346,527
68735,6340,528
10201,6336,529
9543,6334,530
60304,6324,531
447404,6314,532
49018,6298,533
616,6297,534
38055,6290,535
76163,6289,536
39514,6282,537
381283,6267,538
11224,6239,539
37135,6238,540
28178,6235,541
68728,6232,542
1091,6232,543
81188,6229,544
262504,6228,545
188927,6226,546
6957,6218,547
117263,6218,548
114150,6206,549
82700,6205,550
398978,6203,551
82675,6201,552
257211,6199,553
334543,6199,554
37686,6199,555
2668,6198,556
46195,6195,557
18240,6189,558
956,6186,559
530385,6185,560
4232,6180,561
419704,6143,562
955,6122,563
4011,6117,564
11688,6109,565
170,6104,566
296,6098,567
293863,6092,568
3131,6091,569
439079,6076,570
100,6072,571
53182,6055,572
47964,6052,573
508,6047,574
238636,6042,575
322,6036,576
241259,6025,577
11631,6024,578
334533,6017,579
534,6009,580
7345,5985,581
364,5985,582
43074,5976,583
2649,5975,584
44896,5969,585
676,5944,586
320288,5941,587
109414,5941,588
51540,5940,589
10555,5923,590
200727,5918,591
258489,5917,592
2454,5916,593
1933,5916,594
567,5893,595
206487,5889,596
207932,5888,597
270303,5882,598
80278,5880,599
22881,5868,600
57214,5867,601
18823,5863,602
341013,5860,603
298,5859,604
203801,5852,605
2059,5850,606
86834,5846,607
184,5824,608
927,5819,609
166428,5817,610
380,5814,611
12230,5812,612
9325,5809,613
1576,5803,614
59859,5791,615
782,5786,616
82654,5761,617
9737,5758,618
449176,5748,619
250546,5742,620
390043,5732,621
335988,5727,622
440021,5721,623
644,5719,624
565,5706,625
1995,5705,626
420809,5698,627
277,5696,628
406990,5687,629
5255,5682,630
49017,5680,631
88,5679,632
1368,5675,633
47933,5674,634
238713,5666,635
11544,5665,636
1018,5664,637
39538,5663,638
80321,5658,639
166424,5648,640
424783,5639,641
20504,5636,642
302946,5635,643
788,5633,644
8467,5615,645
2300,5608,646
1572,5604,647
1637,5603,648
401981,5596,649
7446,5591,650
13053,5582,651
254320,5580,652
38365,5577,653
87502,5572,654
509,5558,655
345,5552,656
333484,5545,657
38575,5545,658
57201,5528,659
31011,5512,660
1597,5512,661
306819,5503,662
181533,5495,663
373571,5479,664
299687,5479,665
1250,5477,666
302699,5473,667
36647,5466,668
13885,5466,669
22794,5461,670
12092,5459,671
10895,5440,672
83666,5434,673
80274,5432,674
1813,5429,675
346685,5427,676
7131,5410,677
755,5407,678
389015,5405,679
76493,5401,680
334541,5396,681
1927,5392,682
181886,5383,683
445571,5372,684
228967,5370,685
8488,5367,686
1571,5365,687
324668,5362,688
260346,5360,689
2034,5360,690
159824,5338,691
628,5338,692
8247,5337,693
49040,5337,694
274857,5333,695
140300,5327,696
235,5317,697
3049,5315,698
10530,5306,699
39513,5300,700
388,5297,701
400106,5296,702
762,5280,703
1573,5275,704
50546,5270,705
260514,5263,706
396422,5258,707
9340,5254,708
527641,5254,709
426,5251,710
861,5243,711
524,5240,712
17431,5238,713
3170,5236,714
49529,5225,715
72559,5217,716
856,5216,717
855,5208,718
10140,5193,719
12162,5187,720
338967,5187,721
117,5181,722
307081,5178,723
1584,5173,724
1624,5163,725
2675,5144,726
105864,5143,727
44833,5134,728
97020,5133,729
345920,5122,730
9654,5113,731
630,5112,732
935,5111,733
27576,5109,734
64635,5107,735
10386,5105,736
251,5103,737
157353,5102,738
37710,5097,739
4523,5088,740
254470,5084,741
4553,5081,742
9532,5080,743
1538,5079,744
8077,5066,745
10198,5062,746
1579,5049,747
41733,5042,748
15,5034,749
17578,5024,750
82507,5008,751
75,5008,752
480530,5007,753
568,4997,754
10009,4993,755
10693,4990,756
948,4987,757
225574,4987,758
400928,4983,759
1635,4981,760
107985,4981,761
82695,4978,762
9444,4958,763
496,4945,764
4982,4933,765
879,4931,766
289,4928,767
8961,4924,768
316727,4919,769
2567,4906,770
13811,4902,771
4108,4902,772
369972,4896,773
76726,4891,774
44264,4890,775
21208,4889,776
286565,4881,777
10340,4880,778
311,4863,779
76285,4859,780
375262,4855,781
85350,4828,782
754,4826,783
10315,4798,784
215,4790,785
332567,4789,786
107846,4789,787
16996,4788,788
10882,4784,789
11253,4782,790
414,4780,791
6637,4761,792
399404,4761,793
10096,4755,794
9836,4752,795
311324,4748,796
395834,4747,797
49849,4718,798
9480,4718,799
453405,4718,800
43347,4717,801
1991,4703,802
11774,4688,803
454,4681,804
23827,4676,805
9509,4674,806
49049,4663,807
10112,4660,808
353491,4658,809
201085,4655,810
81005,4655,811
345887,4652,812
290859,4652,813
60308,4652,814
8321,4644,815
22803,4637,816
27022,4637,817
634,4635,818
5876,4634,819
415,4625,820
447200,4623,821
23168,4616,822
377,4615,823
10545,4614,824
138103,4611,825
297,4609,826
324849,4593,827
504172,4593,828
1581,4592,829
11360,4591,830
544,4589,831
9880,4583,832
290595,4573,833
253412,4567,834
5548,4559,835
2770,4553,836
97367,4535,837
1491,4528,838
268896,4528,839
4547,4523,840
5559,4500,841
308266,4498,842
7443,4494,843
343611,4489,844
9377,4479,845
479455,4478,846
88751,4474,847
310307,4472,848
2118,4463,849
559969,4454,850
274855,4441,851
693,4427,852
399174,4427,853
117251,4421,854
267860,4408,855
52449,4404,856
7485,4401,857
23629,4394,858
563,4392,859
41630,4381,860
8078,4378,861
2109,4374,862
298312,4370,863
46529,4366,864
1265,4366,865
7551,4361,866
2667,4359,867
503919,4352,868
433,4350,869
424139,4342,870
10947,4342,871
10865,4339,872
36586,4338,873
431,4336,874
14869,4320,875
8065,4317,876
522681,4315,877
376570,4313,878
14306,4312,879
34544,4311,880
320,4306,881
4944,4302,882
504608,4285,883
15512,4280,884
428078,4274,885
123553,4273,886
446354,4271,887
8839,4269,888
346910,4266,889
1830,4265,890
20662,4264,891
2268,4258,892
19404,4256,893
147441,4251,894
369885,4251,895
4248,4249,896
7980,4242,897
9023,4239,898
1878,4236,899
9802,4235,900
227156,4235,901
109428,4226,902
824,4219,903
296524,4219,904
411088,4212,905
272693,4211,906
9928,4210,907
133805,4193,908
339988,4192,909
305470,4189,910
38050,4188,911
1427,4186,912
59440,4179,913
9428,4176,914
2493,4176,915
278154,4175,916
1700,4175,917
17979,4173,918
325133,4164,919
941,4164,920
97630,4154,921
7299,4151,922
381341,4149,923
2907,4142,924
37834,4141,925
7518,4138,926
71552,4137,927
337170,4137,928
8916,4134,929
6477,4130,930
11322,4129,931
338766,4128,932
291870,4128,933
134374,4127,934
1735,4121,935
399035,4119,936
203833,4109,937
55721,4106,938
9398,4092,939
329996,4088,940
792,4087,941
514999,4083,942
302401,4081,943
9637,4071,944
10137,4069,945
2787,4066,946
224141,4060,947
9522,4060,948
813,4057,949
400155,4056,950
138697,4052,951
136797,4047,952
9366,4044,953
10830,4043,954
686,4038,955
1907,4038,956
9679,4034,957
11886,4029,958
249164,4027,959
45317,4025,960
615,4017,961
1374,4014,962
9603,4011,963
214,4010,964
3021,4007,965
4133,4006,966
395,3999,967
387426,3999,968
583,3990,969
8329,3987,970
1367,3973,971
501170,3966,972
1996,3963,973
33,3960,974
492,3957,975
11216,3954,976
1577,3954,977
9426,3952,978
9602,3948,979
2698,3948,980
72545,3942,981
2978,3936,982
22971,3927,983
335,3923,984
109418,3920,985
91586,3917,986
193756,3911,987
51828,3910,988
9800,3909,989
567609,3909,990
57165,3908,991
500664,3907,992
9659,3903,993
132232,3896,994
321697,3894,995
376659,3891,996
588,3887,997
1562,3883,998
164,3883,999
3580,3877,1000
227306,3876,1001
484247,3876,1002
225886,3874,1003
356305,3874,1004
227159,3872,1005
1578,3872,1006
63311,3869,1007
7451,3868,1008
1585,3861,1009
1452,3859,1010
4327,3857,1011
4347,3851,1012
279,3837,1013
840,3837,1014
581,3835,1015
376660,3833,1016
27581,3831,1017
274479,3828,1018
205775,3828,1019
22954,3826,1020
8699,3825,1021
184315,3824,1022
136400,3824,1023
397243,3820,1024
270946,3818,1025
5503,3817,1026
205584,3817,1027
525,3816,1028
1903,3803,1029
82682,3798,1030
